2024-03-06T20:00:00-08:00 to 2024-03-06T21:00:00-08:00,1.0464733041778809,2024-03-06T20:00:00-08:00 to 2024-03-06T21:00:00-08:00,1.04682,2024-03-06T20:00:00-08:00 to 2024-03-06T21:00:00-08:00,1.21654,-0.000346695822119214
2024-03-06T21:00:00-08:00 to 2024-03-06T22:00:00-08:00,0.9138125507539796,2024-03-06T21:00:00-08:00 to 2024-03-06T22:00:00-08:00,0.914115,2024-03-06T21:00:00-08:00 to 2024-03-06T22:00:00-08:00,1.06232,-0.0003024492460204087
2024-03-06T22:00:00-08:00 to 2024-03-06T23:00:00-08:00,0.7479220936290973,2024-03-06T22:00:00-08:00 to 2024-03-06T23:00:00-08:00,0.748169,2024-03-06T22:00:00-08:00 to 2024-03-06T23:00:00-08:00,0.86947,-0.0002469063709026331
2024-03-06T23:00:00-08:00 to 2024-03-07T00:00:00-08:00,0.6072545557876777,2024-03-06T23:00:00-08:00 to 2024-03-07T00:00:00-08:00,0.607455,2024-03-06T23:00:00-08:00 to 2024-03-07T00:00:00-08:00,0.705942,-0.0002004442123222372
2024-03-07T00:00:00-08:00 to 2024-03-07T01:00:00-08:00,0.5213183958307683,2024-03-07T00:00:00-08:00 to 2024-03-07T01:00:00-08:00,0.563803,2024-03-07T00:00:00-08:00 to 2024-03-07T01:00:00-08:00,0.60604,-0.04248460416923172
2024-03-07T01:00:00-08:00 to 2024-03-07T02:00:00-08:00,0.5090776843716701,2024-03-07T01:00:00-08:00 to 2024-03-07T02:00:00-08:00,0.550564,2024-03-07T01:00:00-08:00 to 2024-03-07T02:00:00-08:00,0.59181,-0.04148631562832994
2024-03-07T02:00:00-08:00 to 2024-03-07T03:00:00-08:00,0.49894017315976075,2024-03-07T02:00:00-08:00 to 2024-03-07T03:00:00-08:00,0.539601,2024-03-07T02:00:00-08:00 to 2024-03-07T03:00:00-08:00,0.580025,-0.04066082684023925
2024-03-07T03:00:00-08:00 to 2024-03-07T04:00:00-08:00,0.49557677317345905,2024-03-07T03:00:00-08:00 to 2024-03-07T04:00:00-08:00,0.535963,2024-03-07T03:00:00-08:00 to 2024-03-07T04:00:00-08:00,0.576115,-0.040386226826540916
2024-03-07T04:00:00-08:00 to 2024-03-07T05:00:00-08:00,0.5541386421421127,2024-03-07T04:00:00-08:00 to 2024-03-07T05:00:00-08:00,0.599298,2024-03-07T04:00:00-08:00 to 2024-03-07T05:00:00-08:00,0.644194,-0.04515935785788727
2024-03-07T05:00:00-08:00 to 2024-03-07T06:00:00-08:00,0.6699359445861011,2024-03-07T05:00:00-08:00 to 2024-03-07T06:00:00-08:00,0.724532,2024-03-07T05:00:00-08:00 to 2024-03-07T06:00:00-08:00,0.77881,-0.05459605541389889
